INPUT SECTION ( LOAN AMORTIZATION ) UP TO 10 YEAR,,,,,,,,
,,,,,,,,
Loan Amount," Rp50,000,000.00 ",,,,,,,
Interest Rate/yr,9.00%,,,,,,,
Tenor(Tahun),20,,,,,,,
Monthly Payment,"Rp449,862.98",,,,,,,
Total Payment,"Rp107,967,114.70",,,,,,,
Total Interest,"Rp57,967,114.70",,,,,,,
,,,,,,,,
AMORTIZATION TABLE,,,,,,,,
,,,,,,,,
Bulan,Opening Balance,Cicilan,Bunga(IPMT),Pokok(PPMT),Closing Balance,,,
228," Rp5,552,364.11 ","Rp449,862.98","Rp41,642.73","Rp408,220.25"," Rp5,144,143.87 ",,,
229," Rp5,144,143.87 ","Rp449,862.98","Rp38,581.08","Rp411,281.90"," Rp4,732,861.97 ",,,
230," Rp4,732,861.97 ","Rp449,862.98","Rp35,496.46","Rp414,366.51"," Rp4,318,495.46 ",,,
231," Rp4,318,495.46 ","Rp449,862.98","Rp32,388.72","Rp417,474.26"," Rp3,901,021.19 ",,,
232," Rp3,901,021.19 ","Rp449,862.98","Rp29,257.66","Rp420,605.32"," Rp3,480,415.87 ",,,
233," Rp3,480,415.87 ","Rp449,862.98","Rp26,103.12","Rp423,759.86"," Rp3,056,656.02 ",,,
234," Rp3,056,656.02 ","Rp449,862.98","Rp22,924.92","Rp426,938.06"," Rp2,629,717.96 ",,,
235," Rp2,629,717.96 ","Rp449,862.98","Rp19,722.88","Rp430,140.09"," Rp2,199,577.86 ",,,
236," Rp2,199,577.86 ","Rp449,862.98","Rp16,496.83","Rp433,366.14"," Rp1,766,211.72 ",,,
237," Rp1,766,211.72 ","Rp449,862.98","Rp13,246.59","Rp436,616.39"," Rp1,329,595.33 ",,,
238," Rp1,329,595.33 ","Rp449,862.98","Rp9,971.96","Rp439,891.01"," Rp889,704.32 ",,,
239," Rp889,704.32 ","Rp449,862.98","Rp6,672.78","Rp443,190.20"," Rp446,514.12 ",,,
240," Rp446,514.12 ","Rp449,862.98","Rp3,348.86","Rp446,514.12", Rp0.00 ,,,
241, Rp0.00 ,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
242,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
243,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
244,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
245,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
246,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
247,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
248,#NUM!,"Rp449,862.98",#NUM!,#NUM!,#NUM!,,,
